Product,Name,Price (INR),Rating,Comment Heading,Comment
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0004MU Chromebook,No Name,16990.0,No Rating,No Comment Heading,
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,Flipkart Customer,17990.0,1,Utterly Disappointed,This laptop is very poor Flipkart customer service is very poor
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,ANSAR BASHA,17990.0,1,Waste of money!,Poor
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,rajib  melsudha,17990.0,5,Terrific purchase,Good 👍
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,TAUSEEF  SHAIKH ,17990.0,5,Brilliant,Very Good Product
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,Dip Mitra,17990.0,5,Fabulous!,Good product
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,niku  patil,17990.0,5,Super!,Best laptop for watching Content and for normal use
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,Rajat Sahu,17990.0,5,Worth every penny,Good product
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,Ankit Tiwari,17990.0,5,Best in the market!,Nice
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,Pawan Vaid,17990.0,5,Just wow!,"Awesome products for kids as a study pupose,,"
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,Prasant Kumar  Rout,17990.0,4,Worth the money,Good product.
HP Chromebook x360 Intel Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Thin and...,No Name,17990.0,No Rating,No Comment Heading,
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,Pooja  Kumari,29990.0,4,Good quality product,This is my first laptop gifted by my father so its a special one❤️
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,Vikranth m,29990.0,5,Just wow!,I am using this laptop for coding. nice product 😍
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,viren  tailor,29990.0,5,Worth every penny,Nice & fast
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,Seema Parween,29990.0,5,Fabulous!,Good
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,jyoti nath,29990.0,5,Excellent,Good one🤟
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,SUNNY KUMAR,29990.0,5,Terrific,This is my first Laptop and this is OSM laptop. I can't explain in  Words
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,Ritika Jha,29990.0,5,Wonderful,This is my first lappy thanku Flipkart ☺️☺️
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,Ritam  Saha,29990.0,4,Very Good,Diaplay is not good. And battery indicator always shown 99% hp slove this problem.Performance is good in this price range.If you buy this for normal use if you are a student you can buy this.
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,MD_ AFTAB,29990.0,4,Value-for-money,This is my first laptop 😅 loved it 😍❤️ thank you flipkart for this lovely product 😁 this is awesome laptop... Value of money is 5 star ✨
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,Ramasubramanian,29990.0,4,Worth the money,Amazing product..value for money
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,No Name,29990.0,No Rating,No Comment Heading,
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,saksham  tiwari ,27990.0,4,Really Nice,"Price wise decent deal with nice battery backup.moderate performance but efficient for day to day work, word Excel works great .it is baked with  AMD Radeon processor"
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Shamshad Sheikh,27990.0,4,Worth the money,Good product
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Flipkart Customer,27990.0,5,Perfect product!,Very nice i like it just go for it tq u flikcart team n so fast delivery..... I didn't expect that much fast..... N nice laptop i like it
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Flipkart Customer,27990.0,5,Fabulous!,Nice laptop
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Suraj Sahani,27990.0,5,Worth every penny,The product is good now let's see how will it go far.Display quality is poor.Battery performance is good
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,SUHEL AKHTAR,27990.0,4,Nice product,"It's ok and value for money, and no problem will come during small office work. It's good for normal work."
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Dipali Gaddam,27990.0,5,Terrific purchase,At this price range it's too good
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Anoop Kumar,27990.0,5,Worth every penny,Very nice product
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Flipkart Customer,27990.0,4,Good quality product,The product is good n beautiful with portable but the performance is not known as of now it is only a week
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,Flipkart Customer,27990.0,5,Wonderful,Very nice
HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L...,No Name,27990.0,No Rating,No Comment Heading,
